Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,6950,390,880,1370,1.095 U,,cgminer 3.7.2,-I 15 -g 1 -w 256 -l 1 --thread-concurrency 6144,"Windows 8.1 x64, 90C, Catalyst 13.11 Beta 9.2"
AMD GPU,"6950, VisionTek 1GB",425,860,1450,,,cgminer 2.11.4,-I 18 --thread-concurrency 8064,"Stock shaders, 4GB RAM"
AMD GPU,6950,450,900,1375,,233,cgminer 2.11.4,-I 19 -g 1 -w 256 --thread-concurrency 7040,Windows 7
AMD GPU,6950,450,800,1250,,,cgminer 3.7.2,#WAARDE!,"Windows 8.1 x64, Catalyst 13.1 beta, SDK 2.9, unlocked shaders"
AMD GPU,"6950, Club 3D",483,920,1300,1.200 U,,Reaper 13 beta 4.64,,
AMD GPU,6950,488,910,1125,,,cgminer,-I 18,"Windows 7, 83C, x16-x16 powered risers"
AMD GPU,"6950, Sapphire",512,945,1350,1.100 ?,380,2.11,-I 19 --shader 1536,"70C, shaders unlocked"
AMD GPU,6950,522,955,1270,,,Reaper v13 Beta 4,aggression 19 gpu_thread_concurrency 8192,Shaders unlocked
AMD GPU,"6970, GV-R697OC-2GD",423,900,1375,,,cgminer 2.11.4,-I 15 -g 2 -w 256 --shaders 1564,"67C, Catalyst 13.1, http://img402.imageshack.us/img402/6034/13914411.jpg"
AMD GPU,"6970, HIS",435,"800, 3400","1250, 0",1.0V U,,cgminer 3.1.0,-I 19 -w 256 --shaders 1536,"Windows 7, 59C, i7-2600k"
AMD GPU,"6970, reference XFX",475,,,N,,cgminer 3.7.2,-I 19 -g 2 --thread-concurrency 8000,"Xubuntu, 77C, Intel Xeon"
AMD GPU,"6970, reference",505,930,1450,1.175 U,,cgminer 3.7.0,--thread-concurrency 8128,"Windows 7, 60"
AMD GPU,6970,512,945,1525,,245,cgminer 2.11.4,,"Windows 7 x86, Catalyst 12.4, SDK 2.7"
AMD GPU,6990,850,880,5000,,435,Reaper v13 Beta 4,aggression 17 sharethreads 24 gpu_thread_concurrency 8144,
AMD GPU,7700,40,136,1250,,,cgminer 3.7.2,-I 11,"Windows 7 x64, 70C"
AMD GPU,"7750, ColaMax",109,800,1150,,,cgminer 3.5.0,-I 11,81C
AMD GPU,"7750, HD7750-1GD5",144,820,1150,1.025 Y,75,cgminer 3.5.0,-I 14,"OpenSUSE 12.3 x64, 73C"
AMD GPU,"7750, GV-R775OC-1GI",151,880,1125,,,cgminer 3.1.0,-I 15 -w 64,"Gentoo x64, Catalyst 13.1"
AMD GPU,"7750, 11202-00-20G",165,950,1200,,55,cgminer 3.6.6,-I 11 -g 2 -w 64 --shaders 512,"Slackware 14, 67C, Catalysts 13.1, SDK 2.7, Semperon 3000, ECS C51G-M754, 1GB RAM"
AMD GPU,7750,174,1024,1150,,,cgminer,-I 17 -g 1 --thread-concurrency 8000,
