Name,#,market_cap,price
pluracoin,328,"$32,510.97",$0.000069
centauri,329,"$32,457.46",$0.000689
gossipcoin,330,"$31,182.17",$0.000960
anoncoin,331,"$30,845.51",$0.014617
evilcoin,332,"$30,395.09",$0.001446
votecoin,333,"$30,364.46",$0.000345
bitwhite,334,"$29,674.66",$0.000817
communitygeneration,335,"$29,605.36",$0.000071
atbcoin,336,"$29,343.75",$0.000698
bitcoinote,337,"$28,427.12",$0.002482
garlicoin,338,"$28,277.18",$0.000504
etherinc,339,"$28,159.92",$0.000088
eternity,340,"$27,848.11",$0.003442
universalcurrency,341,"$27,533.15",$0.001726
castle,342,"$26,591.73",$0.001517
gincoin,343,"$26,011.14",$0.003240
carebit,344,"$26,010.88",$0.000173
gexan,345,"$25,553.07",$0.009783
steepcoin,346,"$25,028.81",$0.000138
cream,347,"$23,037.52",$0.000511
digitalmoneybits,348,"$21,960.78",$0.000207
btctalkcoin,349,"$21,795.61",$0.000334
cheesecoin,350,"$21,370.75",$0.000055
dogecash,351,"$20,935.42",$0.005791
intercrone,352,"$20,399.43",$0.001379
mediccoin,353,"$19,872.68",$0.000067
straks,354,"$19,739.68",$0.000827
zealium,355,"$19,673.61",$0.001517
berncash,356,"$19,645.25",$0.000276
bitcoal,357,"$19,016.71",$0.004226
rpicoin,358,"$18,884.99",$0.000021
klimatas,359,"$18,485.37",$0.025571
adzcoin,360,"$18,069.77",$0.000363
xuez,361,"$17,535.88",$0.004826
genesisx,362,"$17,008.53",$0.001652
martexcoin,363,"$16,818.15",$0.004206
xgox,364,"$16,391.02",$0.000007
digiwage,365,"$16,223.76",$0.000345
citadel,366,"$15,764.84",$0.001437
onix,367,"$15,691.72",$0.000147
scrivnetwork,368,"$15,354.20",$0.000621
ellaism,369,"$14,685.81",$0.000758
elementrem,370,"$14,568.70",$0.000556
theresamaycoin,371,"$14,464.79",$0.000145
amsterdamcoin,372,"$14,314.55",$0.000285
absolute,373,"$14,309.61",$0.001107
regalcoin,374,"$14,074.88",$0.001100
datacoin,375,"$13,690.19",$0.000345
titcoin,376,"$13,672.36",$0.000207
zurcoin,377,"$12,610.10",$0.000144
kabberrycoin,378,"$12,317.75",$0.000621
italo,379,"$12,312.99",$0.003045
pawsfund,380,"$11,890.74",$0.006219
goldblocks,381,"$11,775.71",$0.000757
yenten,382,"$11,751.86",$0.000483
blast,383,"$11,588.00",$0.000276
paycoin,384,"$11,203.16",$0.000934
bitcoiin,385,"$10,913.15",$0.000207
fuzzballs,386,"$10,693.49",$0.002214
boostcoin,387,"$10,626.03",$0.000896
acoin,388,"$10,599.10",$0.008687
geysercoin,389,"$10,227.37",$0.008480
roiyalcoin,390,"$9,975.36",$0.008067
phonecoin,391,"$9,447.16",$0.000072
desire,392,"$9,204.51",$0.000896
blakecoin,393,"$8,315.67",$0.000344
nevacoin,394,"$8,211.87",$0.001695
stipend,395,"$7,943.38",$0.000689
zayedcoin,396,"$6,854.10",$0.001098
indinode,397,"$6,848.54",$0.000007
ragnarok,398,"$6,675.24",$0.000414
spreadcoin,399,"$6,434.47",$0.000577
cryptoflow,400,"$6,344.83",$0.000069
litebitcoin,401,"$5,983.81",$0.000207
lunacoin,402,"$5,976.11",$0.003502
mnpcoin,403,"$5,894.04",$0.002689
akroma,404,"$5,624.24",$0.000293
centurion,405,"$5,614.69",$0.000072
skyhubcoin,406,"$5,545.08",$0.008618
tajcoin,407,"$5,462.89",$0.000345
dashgreen,408,"$5,329.72",$0.002317
quebecoin,409,"$5,317.07",$0.000793
smartcoin,410,"$5,284.61",$0.000206
sparkspay,411,"$5,080.85",$0.000927
paxex,412,"$4,846.00",$0.000276
arbit,413,"$4,475.95",$0.000413
vividcoin,414,"$4,345.46",$0.000593
apollon,415,"$4,284.26",$0.000029
eurocoin,416,"$4,280.35",$0.000345
nekonium,417,"$4,137.04",$0.000345
litecred,418,"$4,012.70",$0.000133
galactrum,419,"$3,886.68",$0.000758
sono,420,"$3,306.02",$0.001586
crevacoin,421,"$3,297.84",$0.000091
hollywoodcoin,422,"$3,245.65",$0.000138
cannation,423,"$3,244.50",$0.001310
phantomx,424,"$3,009.21",$0.000062
independentmoneysystem,425,"$2,947.45",$0.000549
californium,426,"$2,873.21",$0.001174
speedcash,427,"$2,853.09",$0.004964
quantisnetwork,428,"$2,742.62",$0.000069
dollarcoin,429,"$2,599.62",$0.000285
bowscoin,430,"$2,587.97",$0.000466
mirai,431,"$2,574.63",$0.000750
atheios,432,"$2,419.06",$0.000138
milocoin,433,"$2,353.41",$0.000218
mustangcoin,434,"$2,320.46",$0.003681
experiencepoints,435,"$1,962.98",$0.000002
platinumbar,436,"$1,936.11",$0.000896
comet,437,"$1,695.34",$0.001942
posex,438,"$1,691.41",$0.000689
veltor,439,"$1,671.58",$0.003013
primexi,440,"$1,581.00",$0.000072
benjirolls,441,"$1,449.85",$0.000072
qbic,442,"$1,405.25",$0.000300
mox,443,"$1,386.50",$0.000276
litecoinultra,444,"$1,352.61",$0.001312
vectorai,445,"$1,268.56",$0.000069
coinonat,446,"$1,246.83",$0.000145
plncoin,447,"$1,218.01",$0.000071
bitmoney,448,"$1,144.65",$0.000014
wildbeastblock,449,"$1,103.75",$0.006067
ibank,450,$934.88,$0.000207
elliotcoin,451,$857.15,$0.000034
dinero,452,$809.12,$0.000090
socialcoin,453,$723.23,$0.000069
xchange,454,$699.24,$0.000072
zoomba,455,$681.13,$0.000028
saveandgain,456,$607.20,$0.000198
concoin,457,$588.64,$0.000791
dystem,458,$507.62,$0.000079
qyno,459,$444.77,$0.000414
ponzicoin,460,$415.87,$0.000483
argus,461,$317.18,$0.000276
lrmcoin,462,$206.04,$0.000021
ultranotecoin,463,$94.94,$4.63e-7
songcoin,464,$61.66,$0.000002
harmonycoin,465,$38.80,$0.000069
